Dataset,Classifier,Method,AUC,Rank
Ames,KNN,DM-δ,0.5863557853606389,7
Ames,KNN,DM-γ,0.601920540841521,5
Ames,KNN,DM-κ,0.587642983101755,8
Ames,KNN,BB,0.5284901199407448,6
Ames,KNN,Prob.,0.7057664760849751,2
Ames,KNN,Magnet,0.6224291447740922,3
Ames,KNN,FS,0.7275468637342611,1
Ames,KNN,RC,0.7056689005398878,4
Ames,NN,DM-δ,0.5724285541382119,7
Ames,NN,DM-γ,0.5851091478242761,5
Ames,NN,DM-κ,0.5652286027062158,8
Ames,NN,BB,0.4560008014156995,6
Ames,NN,Prob.,0.7138191572060183,2
Ames,NN,Magnet,0.6580528878749713,1
Ames,NN,FS,0.7352872036341457,3
Ames,NN,RC,0.6683810747141646,4
Ames,RF,DM-δ,0.5381509616501872,5
Ames,RF,DM-γ,0.565299026853602,8
Ames,RF,DM-κ,0.5524490426359224,7
Ames,RF,BB,0.5426266657648736,6
Ames,RF,Prob.,0.7197621049963477,2
Ames,RF,Magnet,0.5899453747983568,3
Ames,RF,FS,0.708398283274654,4
Ames,RF,RC,0.7089870747665071,1
Ames,SVM,DM-δ,0.5621436298998145,7
Ames,SVM,DM-γ,0.578083328951078,5
Ames,SVM,DM-κ,0.5706701716390664,8
Ames,SVM,BB,0.5393765618903548,6
Ames,SVM,Prob.,0.7101640713660409,2
Ames,SVM,Magnet,0.6126355968695822,3
Ames,SVM,FS,0.7131931853470043,1
Ames,SVM,RC,0.6514173293586601,4
BBBP,KNN,DM-δ,0.6498669974513955,8
BBBP,KNN,DM-γ,0.618713168855946,7
BBBP,KNN,DM-κ,0.6076094755001826,5
BBBP,KNN,BB,0.5204908126487103,6
BBBP,KNN,Prob.,0.730609696853198,1
BBBP,KNN,Magnet,0.6551110757936931,2
BBBP,KNN,FS,0.7466155908275263,3
BBBP,KNN,RC,0.7495192068307875,4
BBBP,NN,DM-δ,0.6881477926793977,7
BBBP,NN,DM-γ,0.6278001309223539,5
BBBP,NN,DM-κ,0.6213412056379335,1
BBBP,NN,BB,0.43219854540809993,6
BBBP,NN,Prob.,0.7706958537122269,2
BBBP,NN,Magnet,0.6564611655360199,3
BBBP,NN,FS,0.8208713053115857,4
BBBP,NN,RC,0.3610233982201977,8
BBBP,RF,DM-δ,0.6073098149254934,5
BBBP,RF,DM-γ,0.5874988483190063,7
BBBP,RF,DM-κ,0.5918875355813447,8
BBBP,RF,BB,0.5612185771991473,1
BBBP,RF,Prob.,0.792868686952528,6
BBBP,RF,Magnet,0.5977065424534418,3
BBBP,RF,FS,0.6949755266353327,2
BBBP,RF,RC,0.6681462347082846,4
BBBP,SVM,DM-δ,0.6134031871932617,7
BBBP,SVM,DM-γ,0.5971876427871158,8
BBBP,SVM,DM-κ,0.5931737878766221,5
BBBP,SVM,BB,0.5551090304344029,6
BBBP,SVM,Prob.,0.7621864228583596,1
BBBP,SVM,Magnet,0.6714213465776402,2
BBBP,SVM,FS,0.7743848624803724,3
BBBP,SVM,RC,0.7723438630283678,4
Cancer,KNN,DM-δ,0.5361164995728495,7
Cancer,KNN,DM-γ,0.543108543693727,8
Cancer,KNN,DM-κ,0.5425559373411852,5
Cancer,KNN,BB,0.5034119941856818,6
Cancer,KNN,Prob.,0.5648590011103976,2
Cancer,KNN,Magnet,0.5492828288335937,3
Cancer,KNN,FS,0.5854533555863197,1
Cancer,KNN,RC,0.5819482106736968,4
Cancer,NN,DM-δ,0.5391139814957828,7
Cancer,NN,DM-γ,0.5447501476492741,6
Cancer,NN,DM-κ,0.5493947394247511,8
Cancer,NN,BB,0.4645744960912282,5
Cancer,NN,Prob.,0.5629161759621002,3
Cancer,NN,Magnet,0.5790937370632047,2
Cancer,NN,FS,0.5842525937752528,1
Cancer,NN,RC,0.570605522015352,4
Cancer,RF,DM-δ,0.532063979542509,8
Cancer,RF,DM-γ,0.5374817167016308,5
Cancer,RF,DM-κ,0.5387402736729373,7
Cancer,RF,BB,0.5122558172234799,6
Cancer,RF,Prob.,0.5825708339531803,3
Cancer,RF,Magnet,0.5503820264099313,2
Cancer,RF,FS,0.5789762433839719,1
Cancer,RF,RC,0.5969354558818564,4
Cancer,SVM,DM-δ,0.5361597746189946,7
Cancer,SVM,DM-γ,0.5420832583348109,6
Cancer,SVM,DM-κ,0.5387191086158322,5
Cancer,SVM,BB,0.5117306961363663,8
Cancer,SVM,Prob.,0.5614243608249287,2
Cancer,SVM,Magnet,0.5634042448006724,3
Cancer,SVM,FS,0.583173936418206,1
Cancer,SVM,RC,0.5540645856018481,4
CYP1A2,KNN,DM-δ,0.614190434433903,5
CYP1A2,KNN,DM-γ,0.6026926924412233,7
CYP1A2,KNN,DM-κ,0.5939641163386118,8
CYP1A2,KNN,BB,0.546414581953997,6
CYP1A2,KNN,Prob.,0.7131017988837481,1
CYP1A2,KNN,Magnet,0.6368024075653288,2
CYP1A2,KNN,FS,0.7027203785056312,3
CYP1A2,KNN,RC,0.7015003713075728,4
CYP1A2,NN,DM-δ,0.5880604327598109,5
CYP1A2,NN,DM-γ,0.5802248606388762,7
CYP1A2,NN,DM-κ,0.5696123898756027,8
CYP1A2,NN,BB,0.466539529805846,6
CYP1A2,NN,Prob.,0.7577109836693776,1
CYP1A2,NN,Magnet,0.6840133703752963,2
CYP1A2,NN,FS,0.7205666762059125,3
CYP1A2,NN,RC,0.7114886551840605,4
CYP1A2,RF,DM-δ,0.5643582468355977,5
CYP1A2,RF,DM-γ,0.5640498550978776,8
CYP1A2,RF,DM-κ,0.5575151827062781,7
CYP1A2,RF,BB,0.5421731179856073,6
CYP1A2,RF,Prob.,0.7453561221263566,1
CYP1A2,RF,Magnet,0.5962001138378035,2
CYP1A2,RF,FS,0.6933347818940229,3
CYP1A2,RF,RC,0.7424456761604183,4
CYP1A2,SVM,DM-δ,0.5886580528971525,5
CYP1A2,SVM,DM-γ,0.5810277532213989,8
CYP1A2,SVM,DM-κ,0.5774403113400529,7
CYP1A2,SVM,BB,0.5332059220653643,6
CYP1A2,SVM,Prob.,0.74851804140336,1
CYP1A2,SVM,Magnet,0.6412145315728979,2
CYP1A2,SVM,FS,0.6978371645028888,3
CYP1A2,SVM,RC,0.7408696045361118,4
hERG,KNN,DM-δ,0.5068161994339531,5
hERG,KNN,DM-γ,0.46865236273997796,7
hERG,KNN,DM-κ,0.465800065988545,8
hERG,KNN,BB,0.5581279550051716,6
hERG,KNN,Prob.,0.7010868006956552,4
hERG,KNN,Magnet,0.6714654901985363,1
hERG,KNN,FS,0.6915783362631973,2
hERG,KNN,RC,0.6812092852642853,3
hERG,NN,DM-δ,0.5009429119639557,7
hERG,NN,DM-γ,0.4525571394561293,5
hERG,NN,DM-κ,0.38950403902752595,8
hERG,NN,BB,0.4146093141088779,1
hERG,NN,Prob.,0.6939506292875278,6
hERG,NN,Magnet,0.4997383724227626,2
hERG,NN,FS,0.7310138497591537,4
hERG,NN,RC,0.5041766896397106,3
hERG,RF,DM-δ,0.4963926284223519,5
hERG,RF,DM-γ,0.4468731380852592,7
hERG,RF,DM-κ,0.4254665720861007,8
hERG,RF,BB,0.5339095132489742,6
hERG,RF,Prob.,0.760810099245826,4
hERG,RF,Magnet,0.6520155172264536,1
hERG,RF,FS,0.7129174625926187,2
hERG,RF,RC,0.7019649851045682,3
hERG,SVM,DM-δ,0.4880415715221452,5
hERG,SVM,DM-γ,0.41434720079858145,7
hERG,SVM,DM-κ,0.4219988849797912,8
hERG,SVM,BB,0.5611573059550652,6
hERG,SVM,Prob.,0.7258170504964464,4
hERG,SVM,Magnet,0.6707232517001437,1
hERG,SVM,FS,0.7102940018286601,3
hERG,SVM,RC,0.7063341083883499,2
HIV,KNN,DM-δ,0.48767241479495,5
HIV,KNN,DM-γ,0.4174814683736986,8
HIV,KNN,DM-κ,0.4036309871202923,7
HIV,KNN,BB,0.4070778827945127,6
HIV,KNN,Prob.,0.7364175986576712,1
HIV,KNN,Magnet,0.6112571983013582,2
HIV,KNN,FS,0.6576967504814983,4
HIV,KNN,RC,0.7102738000653289,3
HIV,NN,DM-δ,0.45572878574076464,5
HIV,NN,DM-γ,0.3938821253803862,8
HIV,NN,DM-κ,0.39622745163004636,7
HIV,NN,BB,0.5844413257292052,6
HIV,NN,Prob.,0.7859292670875704,4
HIV,NN,Magnet,0.6674938302849475,1
HIV,NN,FS,0.6836156522753136,3
HIV,NN,RC,0.6987181843638459,2
HIV,RF,DM-δ,0.43553023945384767,5
HIV,RF,DM-γ,0.3840303462695104,7
HIV,RF,DM-κ,0.38656310009122213,6
HIV,RF,BB,0.41690747881437923,1
HIV,RF,Prob.,0.7868431988757694,4
HIV,RF,Magnet,0.5550475583054847,8
HIV,RF,FS,0.6305500436889753,3
HIV,RF,RC,0.40169414931893466,2
HIV,SVM,DM-δ,0.460247262437218,5
HIV,SVM,DM-γ,0.40836738396129413,8
HIV,SVM,DM-κ,0.40305657842849096,7
HIV,SVM,BB,0.41798831950241433,1
HIV,SVM,Prob.,0.7569894161318226,4
HIV,SVM,Magnet,0.28126630383986473,2
HIV,SVM,FS,0.6403302389743317,3
HIV,SVM,RC,0.6782971282906843,6
Liver,KNN,DM-δ,0.500871557881285,7
Liver,KNN,DM-γ,0.5973582518272629,6
Liver,KNN,DM-κ,0.599881056879769,5
Liver,KNN,BB,0.5072796614692988,3
Liver,KNN,Prob.,0.6139745345187004,2
Liver,KNN,Magnet,0.6180395063465752,8
Liver,KNN,FS,0.63187608764231,4
Liver,KNN,RC,0.5914902894793016,1
Liver,NN,DM-δ,0.4943294917782635,5
Liver,NN,DM-γ,0.5611844316748412,2
Liver,NN,DM-κ,0.5522834746542897,7
Liver,NN,BB,0.49859203355113085,3
Liver,NN,Prob.,0.58056650548725,8
Liver,NN,Magnet,0.4611236139196568,4
Liver,NN,FS,0.5600521883277039,1
Liver,NN,RC,0.5,6
Liver,RF,DM-δ,0.4649462371631984,8
Liver,RF,DM-γ,0.5523042955887837,5
Liver,RF,DM-κ,0.5607638852891478,7
Liver,RF,BB,0.4925248790479358,6
Liver,RF,Prob.,0.6021413150017717,3
Liver,RF,Magnet,0.5666538333387382,2
Liver,RF,FS,0.5917081035279034,4
Liver,RF,RC,0.615712239421712,1
Liver,SVM,DM-δ,0.48955077509571626,5
Liver,SVM,DM-γ,0.5895135098903235,6
Liver,SVM,DM-κ,0.5815297252794714,7
Liver,SVM,BB,0.48014360604098283,8
Liver,SVM,Prob.,0.6548883714544042,2
Liver,SVM,Magnet,0.6444504299787823,3
Liver,SVM,FS,0.6342262554246916,1
Liver,SVM,RC,0.6237775124403064,4
